Topic,comp_role,Year,weight,word_category
1,fi_159+servicer,2002,0.1044,3
1,fi_159+servicer,2003,0.0135,3
1,fi_159+servicer,2004,0.0041,4
1,fi_198+issuer,2004,0.0038,5
1,fi_198+issuer,2005,0.01,4
1,fi_198+issuer,2006,0.1241,2
1,fi_198+originator,2006,0.0916,5
1,fi_245+depositor,2002,0.1162,2
1,fi_245+depositor,2003,0.0118,4
1,fi_245+seller,2002,0.0665,4
1,fi_245+seller,2003,0.0084,5
1,fi_270+originator,2005,0.0094,5
1,fi_270+originator,2006,0.1096,3
1,fi_270+originator,2007,0.1992,1
1,fi_270+originator,2008,0.1223,3
1,fi_270+servicer,2007,0.1172,2
1,fi_270+servicer,2008,0.2298,1
1,fi_270+sponsor,2008,0.1675,2
1,fi_31+issuer,2004,0.0143,3
1,fi_31+issuer,2005,0.097,3
1,fi_31+issuer,2006,0.1024,4
1,fi_31+issuer,2007,0.0704,5
1,fi_311+originator,2002,0.5538,1
1,fi_311+originator,2003,0.8111,1
1,fi_311+originator,2004,0.7472,1
1,fi_311+originator,2005,0.6479,1
1,fi_311+originator,2006,0.1733,1
1,fi_311+originator,2007,0.106,4
1,fi_311+originator,2008,0.075,5
1,fi_58+issuer,2007,0.1112,3
1,fi_58+issuer,2008,0.078,4
1,fi_90+originator,2002,0.0425,5
1,fi_90+originator,2003,0.0964,2
1,fi_90+originator,2004,0.1812,2
1,fi_90+originator,2005,0.1533,2
10,fi_125+issuer,2003,0.3478,1
10,fi_125+issuer,2004,0.18,1
10,fi_125+issuer,2005,0.1458,2
10,fi_125+issuer,2006,0.0761,4
10,fi_125+seller,2003,0.0888,4
10,fi_125+seller,2004,0.0677,5
10,fi_125+servicer,2003,0.099,2
10,fi_125+servicer,2004,0.0716,4
10,fi_140+issuer,2002,0.4193,1
10,fi_140+issuer,2003,0.0835,5
10,fi_140+servicer,2002,0.0543,3
10,fi_143+originator,2004,0.1165,3
10,fi_143+originator,2005,0.1435,3
10,fi_143+originator,2006,0.0739,5
10,fi_143+originator,2007,0.2901,1
10,fi_143+originator,2008,0.1187,2
10,fi_144+originator,2007,0.0768,5
10,fi_144+originator,2008,0.0423,5
10,fi_230+originator,2005,0.153,1
10,fi_230+originator,2006,0.3006,1
10,fi_230+originator,2007,0.2849,2
10,fi_230+originator,2008,0.6449,1
10,fi_242+originator,2007,0.1115,4
10,fi_242+originator,2008,0.0578,4
10,fi_26+issuer,2006,0.0888,2
10,fi_88+issuer,2005,0.0621,5
10,fi_88+originator,2002,0.1231,2
10,fi_88+originator,2003,0.0956,3
10,fi_88+originator,2004,0.1664,2
10,fi_88+originator,2005,0.1119,4
10,fi_88+originator,2006,0.0859,3
10,fi_88+originator,2007,0.114,3
10,fi_88+originator,2008,0.0588,3
10,fi_89+depositor,2002,0.0493,4
10,fi_91+trustee,2002,0.0488,5
11,fi_219+issuer,2006,0.0407,5
11,fi_219+issuer,2007,0.0801,4
11,fi_219+issuer,2008,0.0269,5
11,fi_306+trustee,2003,0.0688,5
11,fi_306+trustee,2005,0.0546,5
11,fi_33+depositor,2002,0.0655,4
11,fi_33+depositor,2003,0.1353,4
11,fi_33+depositor,2004,0.1403,2
11,fi_33+depositor,2005,0.1286,2
11,fi_33+depositor,2006,0.0971,2
11,fi_33+depositor,2007,0.0907,2
11,fi_33+depositor,2008,0.1247,2
11,fi_33+issuer,2002,0.1731,3
11,fi_33+issuer,2003,0.3732,1
11,fi_33+issuer,2004,0.356,1
11,fi_33+issuer,2005,0.3145,1
11,fi_33+issuer,2006,0.5072,1
11,fi_33+issuer,2007,0.4275,1
11,fi_33+issuer,2008,0.5947,1
11,fi_33+seller,2002,0.0598,5
11,fi_33+seller,2004,0.0546,5
11,fi_34+seller,2002,0.2865,2
11,fi_34+seller,2003,0.1492,2
11,fi_34+seller,2004,0.128,3
11,fi_34+seller,2005,0.1031,4
11,fi_34+servicer,2002,0.3435,1
11,fi_34+servicer,2003,0.1468,3
11,fi_34+servicer,2004,0.1252,4
11,fi_34+servicer,2005,0.107,3
11,fi_34+servicer,2006,0.0831,4
11,fi_34+servicer,2007,0.0794,5
11,fi_34+servicer,2008,0.0575,4
11,fi_34+sponsor,2006,0.0833,3
11,fi_34+sponsor,2007,0.088,3
11,fi_34+sponsor,2008,0.06,3
12,fi_262+depositor,2004,0.0764,4
12,fi_262+depositor,2007,0.0462,5
12,fi_262+depositor,2008,0.0462,5
12,fi_262+seller,2002,0.053,5
12,fi_305+originator,2005,0.0507,5
12,fi_306+securities-administrator,2002,0.0883,3
12,fi_306+securities-administrator,2003,0.0747,4
12,fi_306+servicer,2002,0.1123,2
12,fi_306+servicer,2003,0.1097,2
12,fi_306+servicer,2004,0.103,2
12,fi_41+depositor,2003,0.0566,5
12,fi_41+depositor,2005,0.1484,2
12,fi_41+depositor,2006,0.0629,5
12,fi_41+issuer,2002,0.4343,1
12,fi_41+issuer,2003,0.3641,1
12,fi_41+issuer,2004,0.3417,1
12,fi_41+issuer,2005,0.3226,1
12,fi_41+issuer,2006,0.3523,1
12,fi_41+issuer,2007,0.4141,1
12,fi_41+issuer,2008,0.4141,1
12,fi_87+originator,2006,0.141,2
12,fi_87+originator,2007,0.1328,2
12,fi_87+originator,2008,0.1328,2
12,fi_87+seller,2002,0.0743,4
12,fi_87+seller,2003,0.0861,3
12,fi_87+seller,2004,0.0902,3
12,fi_87+seller,2005,0.0695,4
12,fi_87+servicer,2004,0.0634,5
12,fi_87+servicer,2005,0.0836,3
12,fi_87+servicer,2006,0.068,4
12,fi_87+servicer,2007,0.0865,3
12,fi_87+servicer,2008,0.0864,3
12,fi_87+sponsor,2006,0.0891,3
12,fi_87+sponsor,2007,0.0799,4
12,fi_87+sponsor,2008,0.0799,4
13,fi_116+originator,2004,0.0349,5
13,fi_138+servicer,2004,0.0863,3
13,fi_141+originator,2002,0.2381,1
13,fi_141+originator,2003,0.0788,3
13,fi_141+originator,2007,0.0531,5
13,fi_141+originator,2008,0.0531,5
13,fi_158+originator,2002,0.1867,2
13,fi_171+originator,2003,0.12,2
13,fi_171+originator,2004,0.1807,2
