Topic,comp_role,Year,weight,word_category
1,fi_107+cap-counterparty,2006,0.0904,2
1,fi_110+sponsor,2005,0.101,1
1,fi_110+sponsor,2006,0.2716,1
1,fi_110+sponsor,2007,0.2059,1
1,fi_110+sponsor,2008,0.1389,2
1,fi_117+seller,2003,0.0851,3
1,fi_117+seller,2007,0.1506,4
1,fi_117+seller,2008,0.1139,5
1,fi_117+servicer,2007,0.1558,2
1,fi_117+servicer,2008,0.1165,3
1,fi_117+sponsor,2007,0.1533,3
1,fi_117+sponsor,2008,0.1153,4
1,fi_141+servicer,2007,0.0346,5
1,fi_181+sponsor,2008,0.1537,1
1,fi_293+trustee,2002,0.096,3
1,fi_293+trustee,2003,0.0825,4
1,fi_293+trustee,2004,0.0726,5
1,fi_6+issuer,2002,0.0936,4
1,fi_6+issuer,2003,0.0746,5
1,fi_6+issuer,2004,0.0726,4
1,fi_6+issuer,2005,0.0717,4
1,fi_6+issuer,2006,0.0491,5
1,fi_6+seller,2002,0.0689,5
1,fi_6+servicer,2002,0.2355,2
1,fi_6+servicer,2003,0.1412,1
1,fi_6+servicer,2004,0.1604,1
1,fi_6+servicer,2005,0.084,2
1,fi_6+servicer,2006,0.0511,3
1,fi_6+sponsor,2002,0.2614,1
1,fi_6+sponsor,2003,0.1394,2
1,fi_6+sponsor,2004,0.1365,2
1,fi_6+sponsor,2005,0.0815,3
1,fi_6+sponsor,2006,0.0508,4
1,fi_80+trustee,2004,0.077,3
1,fi_80+trustee,2005,0.059,5
10,fi_153+servicer,2005,0.1783,2
10,fi_181+originator,2002,0.1549,2
10,fi_181+originator,2003,0.0671,4
10,fi_181+originator,2004,0.0626,4
10,fi_181+originator,2005,0.0535,5
10,fi_181+originator,2008,0.125,2
10,fi_181+servicer,2002,0.1261,3
10,fi_181+servicer,2003,0.0952,3
10,fi_181+servicer,2004,0.111,3
10,fi_181+servicer,2005,0.0917,4
10,fi_181+servicer,2006,0.0609,5
10,fi_181+servicer,2008,0.1676,1
10,fi_263+originator,2007,0.0717,5
10,fi_263+servicer,2002,0.0526,5
10,fi_263+servicer,2003,0.0445,5
10,fi_263+servicer,2007,0.0759,2
