Topic,Year,Prospectus_count_all,Prospectus_count_bloomberg
Topic 1,2002,6,4
Topic 1,2003,6,6
Topic 1,2004,15,13
Topic 1,2005,6,1
Topic 1,2006,8,8
Topic 1,2007,1,1
Topic 1,2008,,
Topic 2,2002,7,7
Topic 2,2003,10,9
Topic 2,2004,10,8
Topic 2,2005,9,9
Topic 2,2006,15,11
Topic 2,2007,6,5
Topic 2,2008,,
Topic 3,2002,1,
Topic 3,2003,4,
Topic 3,2004,4,
Topic 3,2005,11,6
Topic 3,2006,2,2
Topic 3,2007,,
Topic 3,2008,1,
Topic 4,2002,1,1
Topic 4,2003,1,
Topic 4,2004,3,3
Topic 4,2005,11,11
Topic 4,2006,42,40
Topic 4,2007,15,14
Topic 4,2008,,
Topic 5,2002,8,8
Topic 5,2003,10,9
Topic 5,2004,10,7
Topic 5,2005,9,7
Topic 5,2006,38,36
Topic 5,2007,15,11
Topic 5,2008,6,
Topic 6,2002,32,19
Topic 6,2003,17,
Topic 6,2004,33,
Topic 6,2005,28,1
Topic 6,2006,3,3
Topic 6,2007,,
Topic 6,2008,,
Topic 7,2002,31,25
Topic 7,2003,34,34
Topic 7,2004,32,31
Topic 7,2005,32,29
Topic 7,2006,31,29
Topic 7,2007,26,25
Topic 7,2008,3,
Topic 8,2002,5,5
Topic 8,2003,17,11
Topic 8,2004,15,15
Topic 8,2005,17,11
Topic 8,2006,24,14
Topic 8,2007,2,1
Topic 8,2008,,
Topic 9,2002,8,7
Topic 9,2003,30,18
Topic 9,2004,45,39
Topic 9,2005,57,42
Topic 9,2006,34,33
Topic 9,2007,17,17
Topic 9,2008,1,
Topic 10,2002,9,9
Topic 10,2003,28,26
Topic 10,2004,63,62
Topic 10,2005,38,35
Topic 10,2006,53,51
Topic 10,2007,20,18
Topic 10,2008,,
Topic 11,2002,2,
Topic 11,2003,6,2
Topic 11,2004,9,3
Topic 11,2005,9,6
Topic 11,2006,10,10
Topic 11,2007,3,3
Topic 11,2008,,
Topic 12,2002,3,
Topic 12,2003,12,4
Topic 12,2004,9,5
Topic 12,2005,11,11
Topic 12,2006,12,10
Topic 12,2007,9,5
Topic 12,2008,,
Topic 13,2002,1,
Topic 13,2003,7,1
Topic 13,2004,9,5
Topic 13,2005,11,6
Topic 13,2006,14,14
Topic 13,2007,,
Topic 13,2008,,
Topic 14,2002,6,5
Topic 14,2003,7,1
Topic 14,2004,6,5
Topic 14,2005,4,3
Topic 14,2006,2,2
Topic 14,2007,,
Topic 14,2008,,
Topic 15,2002,,
Topic 15,2003,,
Topic 15,2004,2,2
Topic 15,2005,10,8
Topic 15,2006,12,12
Topic 15,2007,4,3
Topic 15,2008,,
Topic 16,2002,31,24
Topic 16,2003,40,35
Topic 16,2004,52,41
Topic 16,2005,35,34
Topic 16,2006,89,85
Topic 16,2007,31,27
Topic 16,2008,,
Topic 17,2002,,
Topic 17,2003,2,2
Topic 17,2004,1,1
Topic 17,2005,10,7
Topic 17,2006,40,37
Topic 17,2007,6,6
Topic 17,2008,,
Topic 18,2002,,
Topic 18,2003,17,17
Topic 18,2004,16,15
Topic 18,2005,18,16
Topic 18,2006,21,21
Topic 18,2007,2,2
Topic 18,2008,,
Topic 19,2002,1,
Topic 19,2003,10,1
Topic 19,2004,23,6
Topic 19,2005,31,29
Topic 19,2006,24,24
Topic 19,2007,18,17
Topic 19,2008,3,
Topic 20,2002,4,
Topic 20,2003,2,2
Topic 20,2004,9,4
Topic 20,2005,12,8
Topic 20,2006,30,28
Topic 20,2007,9,9
Topic 20,2008,,
Topic 21,2002,21,19
Topic 21,2003,23,23
Topic 21,2004,38,38
Topic 21,2005,36,36
Topic 21,2006,92,88
Topic 21,2007,16,15
Topic 21,2008,,
Topic 22,2002,5,3
Topic 22,2003,6,6
Topic 22,2004,11,8
Topic 22,2005,9,7
Topic 22,2006,2,2
Topic 22,2007,,
Topic 22,2008,,
Topic 23,2002,,
Topic 23,2003,1,1
Topic 23,2004,21,21
Topic 23,2005,16,16
Topic 23,2006,41,40
Topic 23,2007,11,10
Topic 23,2008,,
Topic 24,2002,4,4
Topic 24,2003,3,3
Topic 24,2004,20,17
Topic 24,2005,14,13
Topic 24,2006,39,39
Topic 24,2007,32,29
Topic 24,2008,,
Topic 25,2002,2,2
Topic 25,2003,4,1
Topic 25,2004,6,4
Topic 25,2005,15,9
Topic 25,2006,10,10
Topic 25,2007,5,5
Topic 25,2008,,
Topic 26,2002,6,6
Topic 26,2003,5,3
Topic 26,2004,7,5
Topic 26,2005,14,14
Topic 26,2006,20,20
Topic 26,2007,1,1
Topic 26,2008,,
Topic 27,2002,,
Topic 27,2003,1,
Topic 27,2004,3,2
Topic 27,2005,9,9
Topic 27,2006,9,9
Topic 27,2007,2,2
Topic 27,2008,,
Topic 28,2002,,
Topic 28,2003,6,4
Topic 28,2004,,
Topic 28,2005,2,1
Topic 28,2006,39,35
Topic 28,2007,87,47
Topic 28,2008,14,
Topic 29,2002,6,1
Topic 29,2003,12,2
Topic 29,2004,11,2
Topic 29,2005,19,6
Topic 29,2006,25,25
Topic 29,2007,21,21
Topic 29,2008,,
Topic 30,2002,11,11
Topic 30,2003,33,32
Topic 30,2004,43,43
Topic 30,2005,34,34
Topic 30,2006,23,23
Topic 30,2007,4,4
Topic 30,2008,,
