Topic,comp_role,Year,weight,word_category
1,fi_306+servicer,2002,0.1897,1
1,fi_306+servicer,2003,0.1918,1
1,fi_306+servicer,2004,0.1951,1
1,fi_306+servicer,2005,0.1985,1
1,fi_306+servicer,2006,0.2016,1
1,fi_306+servicer,2007,0.2029,1
1,fi_306+servicer,2008,0.2037,1
2,fi_147+seller,2002,0.2245,1
2,fi_147+servicer,2003,0.2216,1
2,fi_147+servicer,2004,0.2153,1
2,fi_147+servicer,2005,0.2047,1
2,fi_147+servicer,2006,0.1924,1
2,fi_147+depositor,2007,0.1872,1
2,fi_147+depositor,2008,0.1877,1
3,fi_127+depositor,2002,0.1163,1
3,fi_127+depositor,2003,0.1161,1
3,fi_127+depositor,2004,0.1158,1
3,fi_127+depositor,2005,0.1152,1
3,fi_127+depositor,2006,0.1141,1
3,fi_127+depositor,2007,0.1135,1
3,fi_127+depositor,2008,0.1135,1
4,fi_31+servicer,2002,0.3018,1
4,fi_31+servicer,2003,0.2937,1
4,fi_31+servicer,2004,0.2684,1
4,fi_31+servicer,2005,0.2248,1
4,fi_31+servicer,2006,0.1842,1
4,fi_31+servicer,2007,0.1634,1
4,fi_31+servicer,2008,0.1551,1
5,fi_210+servicer,2002,0.1815,1
5,fi_210+servicer,2003,0.1777,1
5,fi_210+servicer,2004,0.1721,1
5,fi_210+servicer,2005,0.1585,1
5,fi_210+servicer,2006,0.1397,1
5,fi_210+servicer,2007,0.1334,1
5,fi_210+servicer,2008,0.134,1
6,fi_308+trustee,2002,0.1139,1
6,fi_308+trustee,2003,0.1121,1
6,fi_308+trustee,2004,0.1089,1
6,fi_308+trustee,2005,0.1011,1
6,fi_308+trustee,2006,0.0957,1
6,fi_308+trustee,2007,0.0939,1
6,fi_308+trustee,2008,0.0938,1
7,fi_71+servicer,2002,0.2155,1
7,fi_71+servicer,2003,0.2189,1
7,fi_71+servicer,2004,0.2223,1
7,fi_71+servicer,2005,0.2237,1
7,fi_71+servicer,2006,0.2254,1
7,fi_71+servicer,2007,0.2253,1
7,fi_71+servicer,2008,0.2242,1
8,fi_34+depositor,2002,0.2513,1
8,fi_34+depositor,2003,0.2233,1
8,fi_34+depositor,2004,0.1974,1
8,fi_34+depositor,2005,0.1777,1
8,fi_34+depositor,2006,0.1614,1
8,fi_34+depositor,2007,0.1514,1
8,fi_34+depositor,2008,0.149,1
9,fi_82+seller,2002,0.078,1
9,fi_306+servicer,2003,0.0756,1
9,fi_306+servicer,2004,0.077,1
9,fi_306+servicer,2005,0.08,1
9,fi_306+servicer,2006,0.0808,1
9,fi_306+servicer,2007,0.083,1
9,fi_306+servicer,2008,0.0831,1
10,fi_248+servicer,2002,0.1176,1
10,fi_248+servicer,2003,0.1194,1
10,fi_248+servicer,2004,0.1234,1
10,fi_248+servicer,2005,0.1182,1
10,fi_248+servicer,2006,0.1072,1
10,fi_248+servicer,2007,0.1028,1
10,fi_248+servicer,2008,0.1029,1
11,fi_171+depositor,2002,0.204,1
11,fi_171+depositor,2003,0.2047,1
11,fi_171+depositor,2004,0.1987,1
11,fi_171+depositor,2005,0.1882,1
11,fi_171+depositor,2006,0.1775,1
11,fi_171+depositor,2007,0.1786,1
11,fi_171+depositor,2008,0.1792,1
12,fi_177+depositor,2002,0.132,1
12,fi_177+depositor,2003,0.1309,1
12,fi_177+depositor,2004,0.1282,1
12,fi_177+depositor,2005,0.1339,1
12,fi_177+depositor,2006,0.1364,1
12,fi_177+depositor,2007,0.1343,1
12,fi_177+depositor,2008,0.1341,1
13,fi_262+seller,2002,0.2669,1
13,fi_262+seller,2003,0.2515,1
13,fi_262+seller,2004,0.226,1
13,fi_262+seller,2005,0.2079,1
13,fi_262+seller,2006,0.1958,1
13,fi_262+seller,2007,0.1963,1
13,fi_262+seller,2008,0.1973,1
14,fi_146+servicer,2002,0.2647,1
14,fi_146+servicer,2003,0.256,1
14,fi_146+servicer,2004,0.2368,1
14,fi_146+servicer,2005,0.2141,1
14,fi_146+servicer,2006,0.1958,1
14,fi_146+servicer,2007,0.1888,1
14,fi_146+servicer,2008,0.1879,1
15,fi_125+servicer,2002,0.105,1
15,fi_125+servicer,2003,0.1107,1
15,fi_125+servicer,2004,0.1229,1
15,fi_125+servicer,2005,0.1316,1
