Topic,Year,Prospectus_count_all,Prospectus_count_bloomberg
1,2002,2,
1,2003,,
1,2004,,
1,2005,,
1,2006,6,6
1,2007,4,4
1,2008,,
2,2002,9,9
2,2003,13,13
2,2004,13,12
2,2005,1,1
2,2006,,
2,2007,1,1
2,2008,,
3,2002,16,5
3,2003,13,10
3,2004,21,5
3,2005,21,7
3,2006,13,11
3,2007,2,3
3,2008,,
4,2002,31,25
4,2003,34,30
4,2004,31,34
4,2005,32,30
4,2006,31,28
4,2007,27,27
4,2008,3,
5,2002,7,2
5,2003,10,3
5,2004,8,3
5,2005,14,3
5,2006,5,6
5,2007,8,9
5,2008,,
6,2002,7,2
6,2003,11,7
6,2004,14,12
6,2005,21,20
6,2006,21,18
6,2007,6,8
6,2008,,
7,2002,,
7,2003,,
7,2004,21,13
7,2005,11,13
7,2006,40,36
7,2007,31,30
7,2008,,
8,2002,18,15
8,2003,33,24
8,2004,42,24
8,2005,32,31
8,2006,87,71
8,2007,16,27
8,2008,,
9,2002,1,1
9,2003,15,10
9,2004,20,17
9,2005,28,22
9,2006,38,36
9,2007,20,21
9,2008,,
10,2002,3,3
10,2003,21,16
10,2004,16,10
10,2005,6,14
10,2006,2,2
10,2007,,
10,2008,,
11,2002,6,3
11,2003,30,20
11,2004,39,35
11,2005,48,41
11,2006,18,17
11,2007,8,9
11,2008,1,
12,2002,12,11
12,2003,33,21
12,2004,56,35
12,2005,21,40
12,2006,44,37
12,2007,13,23
12,2008,,
13,2002,,
13,2003,3,
13,2004,2,
13,2005,4,2
13,2006,3,3
13,2007,5,2
13,2008,,
14,2002,31,21
14,2003,47,39
14,2004,53,38
14,2005,36,42
14,2006,119,94
14,2007,93,73
14,2008,,
15,2002,23,19
15,2003,,
15,2004,6,3
15,2005,3,4
15,2006,4,2
15,2007,1,3
15,2008,,
16,2002,9,3
16,2003,10,9
16,2004,13,7
16,2005,19,16
16,2006,21,20
16,2007,3,5
16,2008,,
17,2002,,
17,2003,,
17,2004,3,2
17,2005,3,2
17,2006,29,24
17,2007,13,12
17,2008,18,
18,2002,,
18,2003,1,1
18,2004,13,11
18,2005,16,13
18,2006,41,31
18,2007,11,24
18,2008,,
19,2002,3,
19,2003,16,
19,2004,12,
19,2005,17,5
19,2006,1,1
19,2007,,
19,2008,,
20,2002,6,3
20,2003,6,5
20,2004,18,10
20,2005,13,10
20,2006,7,6
20,2007,2,3
20,2008,,
21,2002,6,6
21,2003,4,4
21,2004,4,2
21,2005,6,3
21,2006,1,1
21,2007,,
21,2008,,
22,2002,2,
22,2003,2,
22,2004,2,4
22,2005,6,
22,2006,22,19
22,2007,9,16
22,2008,,
23,2002,1,
23,2003,6,1
23,2004,18,6
23,2005,11,11
23,2006,9,10
23,2007,3,4
23,2008,,
24,2002,5,1
24,2003,8,1
24,2004,3,
24,2005,7,4
24,2006,12,10
24,2007,8,6
24,2008,1,
25,2002,6,6
25,2003,,
25,2004,13,13
25,2005,26,18
25,2006,61,54
25,2007,30,40
25,2008,2,
26,2002,2,
26,2003,9,2
26,2004,7,7
26,2005,26,12
26,2006,48,40
26,2007,7,24
26,2008,,
27,2002,3,
27,2003,9,
27,2004,18,1
27,2005,70,64
27,2006,49,48
27,2007,33,31
27,2008,3,
28,2002,5,5
28,2003,11,5
28,2004,18,14
28,2005,24,25
28,2006,29,24
28,2007,5,11
28,2008,,
29,2002,,
29,2003,,
29,2004,2,2
29,2005,5,5
29,2006,2,2
29,2007,1,1
29,2008,,
30,2002,11,10
30,2003,33,33
30,2004,42,42
30,2005,33,25
30,2006,20,27
30,2007,5,5
30,2008,,
